Año;GBARD_corrientes_CLP_MM;PIB_corrientes_2018_MM;Inflactor_IPC;Inflactor_PIB
2011;214371,8428;121509;1,640298056;56,70674509
2012;252225,6727;129973;1,616057198;57,1396822
2013;284044,397;137309;1,568987571;58,43147934
2014;315679,3484;147951;1,499988118;61,8514105
2015;328520,434;158623;1,436770228;64,91575546
2016;381282,099;168765;1,3989973;67,87633978
2017;395749,7;179315;1,367543793;71,15353971
2018;422584,318;189435;1,332888687;72,28502311
2019;416003,938;195532;1,294066687;74,14114869
2020;425316,2563;201258;1,256375424;81,30742653
2021;459168,3761;239562;1,171992;86,92963659
2022;;263843;1,039;93,8090598
2023;;281870;1;100
