Año;GBARD_corrientes_CLP_MM;PIB_corrientes_2018_MM;Inflactor_IPC
2011;214371,842767000;121509,2985;1,640298056
2012;252225,672666667;129973,394;1,616057198
2013;284044,397000000;137309,192;1,568987571
2014;315679,348353500;147951,29;1,499988118
2015;328520,434000000;158622,9029;1,436770228
2016;381282,099000000;168764,6879;1,3989973
2017;395749,700000000;179314,9101;1,367543793
2018;422584,318000000;189434,8674;1,332888687
2019;416003,938000000;195531,7225;1,294066687
2020;425316,256314176;201257,7451;1,256375424
2021;459168,376105465;239561,9814;1,171992
2022;;263842,6609;1,039
2023;;281870,3206;1
