SE_original;SE;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Enseñanza Superior (ES);Enseñanza superior;0,710037;0,779182;0,745580;0,759445;0,772892;0,609146;0,624068;0,595999;0,622958;0,599424;0,621986
Otros ejecutores (OE);Otros ejecutores;0,063017;0,021080;0,026877;0,022660;0,007253;0,165661;0,162309;0,159552;0,158149;0,208206;0,177892
Administración Pública o Estado (ADM);Administración pública;0,052222;0,053948;0,054115;0,026138;0,028282;0,114090;0,118876;0,136699;0,133642;0,123834;0,117396
Empresas (EMP);Empresas;0,045962;0,050804;0,078578;0,057756;0,062172;0,104396;0,089122;0,088508;0,067752;0,047526;0,059928
Instituciones Privadas Sin Fines de Lucro (IPSFL);Inst. Privadas sin Fines de Lucro;0,128762;0,094986;0,094849;0,066906;0,054136;0,006708;0,005626;0,019241;0,017499;0,021010;0,022798
Empresas/Educación Superior;-;0,000000;0,000000;0,000000;0,000973;0,000632;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
Estado/IPSFL/Educación Superior;-;0,000000;0,000000;0,000000;0,000165;0,000155;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
Estado/Educación Superior;-;0,000000;0,000000;0,000000;0,004023;0,002076;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
IPSFL/Educación Superior;-;0,000000;0,000000;0,000000;0,006752;0,004458;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
Sin clasificación;-;0,000000;0,000000;0,000000;0,055183;0,067945;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
